channel,snapshot_date,video_id,video_tag,case_name,series,scheduled_date,match_status,title,format,published,views,engaged_views,engagement_rate_percent,duration_seconds,avd_seconds,avp_percent,ctr_percent,impressions,shown_in_feed,chose_to_view_percent,likes,comments,shares,subscribers_gained,subscribers_lost,dislikes,watch_hours,revenue_usd,traffic_source,notes
@ColdFileDiaries,2026-09-23,6FdLxmbamJs,video05,Yuba Five 1978,VANISHED,2026-09-18,matched,Yuba County Five Drove to a Game — VANISHED,short,2026-09-18,1253,517,41.26,33,14.0,43.58,,,,,6,1,0,1,0,0,2.35,,api,
@ColdFileDiaries,2026-09-23,FiWWSWJoOW8,video03,Springfield Three 1992,VANISHED,2026-09-16,matched,Springfield Three Vanished Overnight — NEVER Found,short,2026-09-16,1222,536,43.86,35,47.0,136.48,,,,,18,1,0,4,0,0,7.3,,api,
@ColdFileDiaries,2026-09-23,sB2Twbce70Q,video02,D.B. Cooper 1971,HEISTS,2026-09-15,matched,"He Jumped With $200,000 — Never Found",short,2026-09-15,1218,451,37.03,33,22.0,67.21,,,,,10,1,0,1,0,0,3.0667,,api,
@ColdFileDiaries,2026-09-23,LbzUZJ-Q-tg,video06,Gardner 1990,HEISTS,2026-09-19,matched,Gardner Heist: $500M Gone in 81 Minutes — NEVER Found,short,2026-09-19,86,24,27.91,35,23.0,68.49,,,,,7,1,0,1,0,0,0.1833,,api,
@ColdFileDiaries,2026-09-23,f-lbHgdVxcI,video04,Zodiac,KILLERS,2026-09-17,matched,"Zodiac Killer: 5 Dead, 4 Ciphers — ZERO Arrests",short,2026-09-17,76,26,34.21,32,768.0,2402.11,,,,,4,1,0,0,0,0,5.55,,api,
@ColdFileDiaries,2026-09-23,Zi3YBe0x3rc,video02,D.B. Cooper 1971,HEISTS,2026-09-15,matched,"He Jumped With $200,000 — Never Found | D.B. Cooper",long,2026-09-16,38,31,81.58,655,161.0,24.67,,,,,7,1,1,3,0,0,1.3833,,api,
@ColdFileDiaries,2026-09-23,faDgcxUE31M,video04,Zodiac,KILLERS,2026-09-17,matched,"The Zodiac Killer: 5 Dead, 4 Ciphers, Zero Arrests — Unsolved",long,2026-09-18,27,10,37.04,807,2405.0,298.13,,,,,3,1,0,0,0,0,6.6833,,api,
@ColdFileDiaries,2026-09-23,ra4DDCqjupc,video06,Gardner 1990,HEISTS,2026-09-19,matched,They Took $500 Million — Never Found | Gardner Museum Heist,long,2026-09-20,25,23,92.0,753,577.0,76.75,,,,,5,1,0,0,0,0,3.6833,,api,
@ColdFileDiaries,2026-09-23,zQGCcd4aWlM,video01,Sodder 1945,VANISHED,2026-09-14,matched,Sodder Children Vanished on Christmas Eve — NEVER Found,short,2026-09-14,25,18,72.0,38,20.0,52.67000000000001,,,,,3,1,0,0,0,0,0.1,,api,
@ColdFileDiaries,2026-09-23,bCm48mW3VXg,video01,Sodder 1945,VANISHED,2026-09-14,matched,The Sodder Children: 5 Kids Vanished on Christmas Eve,long,2026-09-15,22,20,90.91,720,122.0,17.03,,,,,8,1,0,5,0,0,0.6667,,api,
@ColdFileDiaries,2026-09-23,tRF2ZCcz0fw,video03,Springfield Three 1992,VANISHED,2026-09-16,matched,3 Women Vanished From One House — Springfield Three,long,2026-09-17,16,6,37.5,653,12.0,1.8399999999999999,,,,,5,1,0,0,0,0,0.0167,,api,
@ColdFileDiaries,2026-09-23,hOykdJ_C2yc,video07,Black Dahlia 1947,KILLERS,2026-09-20,matched,"Black Dahlia: 500 Suspects, 0 Charges — NEVER Solved",short,2026-09-20,10,3,30.0,32,38.0,120.24999999999999,,,,,2,1,0,0,0,0,0.0333,,api,
@ColdFileDiaries,2026-09-23,FIRbb3CelJM,video05,Yuba Five 1978,VANISHED,2026-09-18,matched,"Yuba County Five: 5 Went to a Game, 1 Vanished",long,2026-09-19,9,3,33.33,764,55.0,7.32,,,,,3,1,0,0,0,0,0.0333,,api,
@ColdFileDiaries,2026-09-23,N4bwPpr4Q6g,video08,Circleville,SMALL TOWN,2026-09-21,matched,"Circleville Letters: 1,000 Threats — NOBODY Caught",short,2026-09-21,1,1,100.0,37,8.0,23.86,,,,,1,0,0,0,0,0,0.0,,api,
@ColdFileDiaries,2026-09-23,-0KLT84qpOs,video08,Circleville,SMALL TOWN,2026-09-21,matched,"1,000 Hate Letters, 1 Dead Man, 0 Caught | Circleville",long,2026-09-22,0,0,,633,0.0,0.0,,,,,1,0,0,0,0,0,0.0,,api,
@ColdFileDiaries,2026-09-23,69_IajVo1LE,video07,Black Dahlia 1947,KILLERS,2026-09-20,matched,"500 Suspects, 500 Confessions, 0 Charges — Black Dahlia",long,2026-09-21,0,0,,751,0.0,0.0,,,,,5,1,0,0,0,0,0.0,,api,
